objectID,title,description,category,type,anchor,url
admin-fulfillmentOrdersRetrieve,fulfillmentOrdersRetrieve,Retrieve a fulfillment order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersRetrieve
admin-availableLocationsRetrieve,availableLocationsRetrieve,Retrieve available locations for a Fulfillment Order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/availableLocationsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/availableLocationsRetrieve
admin-fulfillmentOrdersCancel,fulfillmentOrdersCancel,Cancel fulfillment order,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersCancel,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersCancel
admin-cancellationRequestSend,cancellationRequestSend,Sends a fulfillment cancellation request to the fulfillment service.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/cancellationRequestSend,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/cancellationRequestSend
admin-cancellationRequestAccept,cancellationRequestAccept,Accepts a fulfillment cancellation request sent to a fulfillment service for a fulfillment order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/cancellationRequestAccept,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/cancellationRequestAccept
admin-cancellationRequestCancel,cancellationRequestCancel,Cancel a requested fulfillment cancellation request.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/cancellationRequestCancel,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/cancellationRequestCancel
admin-cancellationRequestReject,cancellationRequestReject,Rejects a fulfillment cancellation request sent to a fulfillment service for a fulfillment order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/cancellationRequestReject,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/cancellationRequestReject
admin-fulfillmentOrdersClose,fulfillmentOrdersClose,Marks an processing fulfillment order as incomplete,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersClose,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersClose
admin-fulfillmentRequestSend,fulfillmentRequestSend,Sends a fulfillment request to the fulfillment service of a fulfillment order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentRequestSend,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentRequestSend
admin-fulfillmentRequestAccept,fulfillmentRequestAccept,Accepts a fulfillment request sent to a fulfillment service for a fulfillment order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentRequestAccept,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentRequestAccept
