objectID,title,description,category,type,anchor,url
admin-productsImageUpdate,productsImageUpdate,Update details of an existing product image.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageUpdate
admin-productsPricesList,productsPricesList,Retrieve a list of all prices from a product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesList
admin-productsPricesCreate,productsPricesCreate,Create a product price in an existing product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesCreate
admin-productsPricesDestroy,productsPricesDestroy,Delete a price in an existing product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesDestroy
admin-productsPricesRetrieve,productsPricesRetrieve,Retrieve a price in an existing product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesRetrieve
admin-productsPricesPartialUpdate,productsPricesPartialUpdate,Update details of an existing product price.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPricesPartialUpdate
admin-productsVariantList,productsVariantList,Retrieve a list of variant products for a product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantList
admin-productsVariantCreate,productsVariantCreate,Create a variant product in an existing product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantCreate
admin-shippingMethodsList,shippingMethodsList,Retrieve a list of all configured shipping methods.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/shippingMethodsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/shippingMethodsList
admin-shippingMethodsRetrieve,shippingMethodsRetrieve,Retrieve an existing shipping method.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/shippingMethodsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/shippingMethodsRetrieve
admin-stockrecordsList,stockrecordsList,Retrieve a list of stockrecords.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsList
admin-stockrecordsCreate,stockrecordsCreate,Create a new stockrecord.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsCreate
admin-stockrecordsDestroy,stockrecordsDestroy,Delete an existing stockrecord.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsDestroy
admin-stockrecordsRetrieve,stockrecordsRetrieve,Retrieve a stockrecord.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsRetrieve
admin-stockrecordsPartialUpdate,stockrecordsPartialUpdate,Partial update an existing stockrecord.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/stockrecordsPartialUpdate
admin-storeDetail,storeDetail,Retrieve general business information and store settings.,Admin API,store,/docs/api/admin/redirect/?v=2024-04-01#/operations/storeDetail,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/storeDetail
admin-subscriptionsList,subscriptionsList,Retrieve a list of subscriptions.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsList
admin-subscriptionsCreate,subscriptionsCreate,Create a new subscription.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsCreate
admin-subscriptionsRetrieve,subscriptionsRetrieve,Retrieve a subscription.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsRetrieve
admin-subscriptionsPartialUpdate,subscriptionsPartialUpdate,Partial update an existing subscription.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsPartialUpdate
admin-subscriptionsCancelCreate,subscriptionsCancelCreate,Cancel an existing subscription.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsCancelCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsCancelCreate
admin-subscriptionsLinesCreate,subscriptionsLinesCreate,Create a new subscription line.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsLinesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsLinesCreate
admin-subscriptionsLinesDestroy,subscriptionsLinesDestroy,Delete a subscription line in an existing subscription line.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsLinesDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsLinesDestroy
admin-subscriptionsLinesUpdate,subscriptionsLinesUpdate,Update an existing subscription line.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsLinesUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsLinesUpdate
admin-subscriptionsRetryCreate,subscriptionsRetryCreate,Trigger a renewal payment retry for a subscription.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsRetryCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsRetryCreate
admin-subscriptionsTransactionsList,subscriptionsTransactionsList,Retrieve a list of transactions in an existing subscription.,Admin API,subscriptions,/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsTransactionsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/subscriptionsTransactionsList
admin-themesList,themesList,Retrieve a list of themes.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/themesList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/themesList
admin-themesCreate,themesCreate,Create a new theme.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/themesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/themesCreate
admin-themesDestroy,themesDestroy,Delete an existing theme.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/themesDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/themesDestroy
admin-themesRetrieve,themesRetrieve,Retrieve a theme.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/themesRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/themesRetrieve
admin-themesTemplatesDestroy,themesTemplatesDestroy,Delete an existing template in an existing theme.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/themesTemplatesDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/themesTemplatesDestroy
admin-themesTemplatesRetrieve,themesTemplatesRetrieve,Retrieve a list of templates in an existing theme.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/themesTemplatesRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/themesTemplatesRetrieve
admin-themesTemplatesCreate,themesTemplatesCreate,Create a new template in an existing theme.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/themesTemplatesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/themesTemplatesCreate
admin-ticketsList,ticketsList,Retrieve a list of tickets.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsList
admin-ticketsCreate,ticketsCreate,Create a new ticket.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsCreate
admin-ticketsAttachmentsCreate,ticketsAttachmentsCreate,Attach new files in an existing ticket.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsAttachmentsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsAttachmentsCreate
admin-ticketsRetrieve,ticketsRetrieve,Retrieve a ticket.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsRetrieve
admin-ticketsPartialUpdate,ticketsPartialUpdate,Partial update an existing ticket.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsPartialUpdate
admin-ticketsUpdate,ticketsUpdate,Update an existing ticket.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsUpdate
admin-ticketsCommentsRetrieve,ticketsCommentsRetrieve,Retrieve a list of comments in an existing ticket.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsCommentsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsCommentsRetrieve
admin-ticketsCommentsCreate,ticketsCommentsCreate,Create a new comment in an existing ticket.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsCommentsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ticketsCommentsCreate
admin-tickettypesList,tickettypesList,Retrieve a list of ticket types.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/tickettypesList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/tickettypesList
admin-tickettypesRetrieve,tickettypesRetrieve,Retrieve a ticket type.,Admin API,support,/docs/api/admin/redirect/?v=2024-04-01#/operations/tickettypesRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/tickettypesRetrieve
admin-transactionsList,transactionsList,Retrieve a list of transactions.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsList
admin-transactionsVerifyCreate,transactionsVerifyCreate,Verify a card token.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsVerifyCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsVerifyCreate
admin-transactionsRetrieve,transactionsRetrieve,Retrieve a transaction.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsRetrieve
admin-transactionsCaptureCreate,transactionsCaptureCreate,Capture an existing transaction.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsCaptureCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsCaptureCreate
admin-transactionsRefundCreate,transactionsRefundCreate,Refund an existing transaction.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsRefundCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/transactionsRefundCreate
admin-usersList,usersList,Retrieve a list of customers.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersList
admin-usersCreate,usersCreate,Create a new customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersCreate
admin-usersRetrieve,usersRetrieve,Retrieve a customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersRetrieve
admin-usersPartialUpdate,usersPartialUpdate,Partial update an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersPartialUpdate
admin-usersUpdate,usersUpdate,Update an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersUpdate
admin-usersAddressesList,usersAddressesList,Retrieve a list of addresses in an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesList
admin-usersAddressesCreate,usersAddressesCreate,,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesCreate
admin-usersAddressesDestroy,usersAddressesDestroy,Delete an address in an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesDestroy
admin-usersAddressesRetrieve,usersAddressesRetrieve,Retrieve an address of an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesRetrieve
admin-usersAddressesUpdate,usersAddressesUpdate,Update an address in an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersAddressesUpdate
admin-usersNotesList,usersNotesList,Retrieve a list of notes in an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersNotesList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersNotesList
admin-usersNotesCreate,usersNotesCreate,Create a new note in an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersNotesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersNotesCreate
admin-usersOrdersRetrieve,usersOrdersRetrieve,Retrieve a list of orders in an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersOrdersRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersOrdersRetrieve
admin-usersSubscriptionsRetrieve,usersSubscriptionsRetrieve,Retrieve a list of subscriptions in an existing customer.,Admin API,customers,/docs/api/admin/redirect/?v=2024-04-01#/operations/usersSubscriptionsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/usersSubscriptionsRetrieve
admin-webhooksList,webhooksList,Retrieve a list of webhooks.,Admin API,webhooks,/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksList
admin-webhooksCreate,webhooksCreate,Create a new webhook.,Admin API,webhooks,/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksCreate
admin-webhooksDestroy,webhooksDestroy,Delete an existing webhook.,Admin API,webhooks,/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksDestroy
admin-webhooksRetrieve,webhooksRetrieve,Retrieve a webhook.,Admin API,webhooks,/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksRetrieve
admin-webhooksPartialUpdate,webhooksPartialUpdate,Partial update an existing webhook.,Admin API,webhooks,/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksPartialUpdate
admin-webhooksUpdate,webhooksUpdate,Update an existing webhook.,Admin API,webhooks,/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/webhooksUpdate
campaigns-campaignRetrieve,campaignRetrieve,Retrieve campaign details.,Campaigns API,campaigns,/docs/api/campaigns/redirect/?v=v1#/operations/campaignRetrieve,https://developers.29next.com/docs/api/campaigns/redirect/?v=v1#/operations/campaignRetrieve
campaigns-cartsCreate,cartsCreate,Create a new cart.,Campaigns API,carts,/docs/api/campaigns/redirect/?v=v1#/operations/cartsCreate,https://developers.29next.com/docs/api/campaigns/redirect/?v=v1#/operations/cartsCreate
campaigns-ordersCreate,ordersCreate,Create a new order.,Campaigns API,orders,/docs/api/campaigns/redirect/?v=v1#/operations/ordersCreate,https://developers.29next.com/docs/api/campaigns/redirect/?v=v1#/operations/ordersCreate
campaigns-orderRetrieve,orderRetrieve,Retrieve specific order details.,Campaigns API,orders,/docs/api/campaigns/redirect/?v=v1#/operations/orderRetrieve,https://developers.29next.com/docs/api/campaigns/redirect/?v=v1#/operations/orderRetrieve
campaigns-ordersUpsellCreate,ordersUpsellCreate,Add an upsell to an existing order.,Campaigns API,orders,/docs/api/campaigns/redirect/?v=v1#/operations/ordersUpsellCreate,https://developers.29next.com/docs/api/campaigns/redirect/?v=v1#/operations/ordersUpsellCreate
